city,latitude,longitude,temp,humidity,cloudiness,wind_speed
abrau-dyurso,44.7,37.6,68,88,0,6.71
abu zabad,12.35,29.25,69.53,97,76,4.29
acapulco,16.86,-99.88,86,70,90,4.7
aden,12.79,45.03,78.44,93,36,6.98
adra,23.5,86.68,77.54,95,92,6.98
adrar,27.87,-0.29,98.6,11,0,9.17
ahar,38.48,47.07,53.06,94,0,2.06
ahipara,-35.17,173.16,56.93,85,0,11.01
ahuimanu,21.44,-157.84,87.8,70,75,16.11
airai,-8.93,125.41,71.96,68,0,2.17
aklavik,68.22,-135.01,62.6,67,75,6.93
aksarka,66.56,67.8,43.52,77,92,7.31
aksu,52.04,76.93,55.4,87,0,6.71
albany,42.65,-73.75,80.6,78,75,12.75
alofi,-19.06,-169.92,77,61,56,12.75
along,28.17,94.8,71.15,93,80,1.39
alpena,45.06,-83.43,84.2,58,1,12.75
alta floresta,-9.87,-56.08,86.45,33,64,3.51
altagracia de orituco,9.86,-66.38,78.35,79,24,7.65
ambanja,-13.68,48.45,65.48,95,36,3.18
ambilobe,-13.19,49.05,68.63,74,0,8.21
ambositra,-20.53,47.24,52.7,100,88,1.61
anadyr,64.73,177.51,48.2,87,90,11.18
ancud,-41.87,-73.83,51.71,97,92,7.99
andros town,24.73,-77.79,84.2,70,40,10.29
antalaha,-14.9,50.28,69.98,94,20,12.24
antofagasta,-23.65,-70.4,55.4,71,20,5.82
aquiraz,-3.9,-38.39,78.8,78,0,8.05
aracataca,10.59,-74.19,89.6,59,40,16.11
araouane,18.9,-3.53,87.98,40,0,10.56
arraial do cabo,-22.97,-42.02,69.8,88,20,8.05
aswan,24.09,32.9,82.04,33,0,7.2
atasu,48.68,71.64,60.08,77,12,3.18
ati,13.21,18.34,72.77,96,76,6.98
atuona,-9.8,-139.03,79.34,100,24,18.95
aukra,62.79,6.92,57.2,87,92,4.7
avarua,-21.21,-159.78,75.2,94,75,13.87
awjilah,29.14,21.3,84.38,43,0,11.79
axim,4.87,-2.24,76.19,100,64,11.56
